Flag,Student Number,Assignment Name,Submission File Name,Answer File Name,Version,Volume Mark,Surface Area Mark,Center of Gravity Mark,Moment of Inertia Mark,Subjective Mark,Total Mark
Flagged,400039792,Lab Week 1,400039792_VH.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400039971,Lab Week 1,400039971_VH.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400040290,Lab Week 1,400040290_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400040461,Lab Week 1,400040461_VF.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400040858,Lab Week 1,400040858_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400041437,Lab Week 1,400041437_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400041465,Lab Week 1,400041465_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400041763,Lab Week 1,400041763_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400042042,Lab Week 1,400042042_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400042667,Lab Week 1,400042667_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400042842,Lab Week 1,400042842_VA.stl,ANSWER_VA.stl,VA,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400010377,Lab Week 2,400010377_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010490,Lab Week 2,400010490_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010694,Lab Week 2,400010694_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010710,Lab Week 2,400010710_VA.stl,ANSWER_VA.stl,VA,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400010739,Lab Week 2,400010739_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010802,Lab Week 2,400010802_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400010854,Lab Week 2,400010854_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011037,Lab Week 2,400011037_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400011039,Lab Week 2,400011039_VA.stl,ANSWER_VA.stl,VA,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400011441,Lab Week 2,400011441_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011620,Lab Week 2,400011620_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011654,Lab Week 2,400011654_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011788,Lab Week 2,400011788_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400011923,Lab Week 2,400011923_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400012648,Lab Week 2,400012648_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013080,Lab Week 2,400013080_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400013143,Lab Week 2,400013143_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400013457,Lab Week 2,400013457_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013536,Lab Week 2,400013536_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013618,Lab Week 2,400013618_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013655,Lab Week 2,400013655_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013672,Lab Week 2,400013672_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400013985,Lab Week 2,400013985_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400014281,Lab Week 2,400014281_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400014505,Lab Week 2,400014505_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400014722,Lab Week 2,400014722_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400015116,Lab Week 2,400015116_VU.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400015522,Lab Week 2,400015522_VA.stl,ANSWER_VA.stl,VA,0/5,0/5,0/5,0/5,0/0,0/20
Flagged,400015600,Lab Week 2,400015600_VZ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400015604,Lab Week 2,400015604_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400016369,Lab Week 2,400016369_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400016403,Lab Week 2,400016403_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400016631,Lab Week 2,400016631_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400016854,Lab Week 2,400016854_VB.stl,ANSWER_VB.stl,VB,0/5,0/5,0/5,0/5,0/0,0/20
Flagged,400016866,Lab Week 2,400016866_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400017440,Lab Week 2,400017440_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400017482,Lab Week 2,400017482_VF.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400017553,Lab Week 2,400017553_VY.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400017919,Lab Week 2,400017919_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400018013,Lab Week 2,400018013_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400018243,Lab Week 2,400018243_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400018294,Lab Week 2,400018294_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400019042,Lab Week 2,400019042_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400019308,Lab Week 2,400019308_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400019547,Lab Week 2,400019547_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400020046,Lab Week 2,400020046_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400020558,Lab Week 2,400020558_VC.stl,ANSWER_VC.stl,VC,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400020650,Lab Week 2,400020650_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400021054,Lab Week 2,400021054_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400021092,Lab Week 2,400021092_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400021569,Lab Week 2,400021569_VI.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400021643,Lab Week 2,400021643_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400021726,Lab Week 2,400021726_VC.stl,ANSWER_VC.stl,VC,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400021759,Lab Week 2,400021759_VB.stl,ANSWER_VB.stl,VB,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400021928,Lab Week 2,400021928_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400022316,Lab Week 2,400022316_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400022380,Lab Week 2,400022380_VV.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400022924,Lab Week 2,400022924_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400022939,Lab Week 2,400022939_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400022963,Lab Week 2,400022963_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400023193,Lab Week 2,400023193_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400023273,Lab Week 2,400023273_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400023718,Lab Week 2,400023718_VC.stl,ANSWER_VC.stl,VC,5/5,5/5,5/5,0/5,0/0,15/20
Flagged,400023775,Lab Week 2,400023775_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400023776,Lab Week 2,400023776_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400024846,Lab Week 2,400024846_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400025261,Lab Week 2,400025261_VB.stl,ANSWER_VB.stl,VB,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400025335,Lab Week 2,400025335_VC.stl,ANSWER_VC.stl,VC,0/5,0/5,0/5,0/5,0/0,0/20
Flagged,400025640,Lab Week 2,400025640_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400025728,Lab Week 2,400025728_VB.stl,ANSWER_VB.stl,VB,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400025775,Lab Week 2,400025775_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400025785,Lab Week 2,400025785_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400026211,Lab Week 2,400026211_VB.stl,ANSWER_VB.stl,VB,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400026239,Lab Week 2,400026239_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400026267,Lab Week 2,400026267_VI.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
